	auctionStimValue	auctionCondition	chosenAuctionAmount	subcode
747	1.0	stop	195.0	sub-015
748	2.0	go	44.0	sub-015
749	0.5	go	270.0	sub-015
750	4.0	stop	39.0	sub-015
751	1.0	go	324.0	sub-015
752	0.5	go	220.0	sub-015
753	2.0	go	324.0	sub-015
754	1.0	stop	170.0	sub-015
755	4.0	go	170.0	sub-015
756	0.5	stop	204.0	sub-015
757	1.0	go	234.0	sub-015
758	2.0	go	196.0	sub-015
759	1.0	stop	108.0	sub-015
760	4.0	stop	216.0	sub-015
761	1.0	stop	264.0	sub-015
762	4.0	go	216.0	sub-015
763	0.5	stop	147.0	sub-015
764	1.0	go	196.0	sub-015
765	4.0	stop	102.0	sub-015
766	1.0	go	136.0	sub-015
767	0.5	go	216.0	sub-015
768	4.0	stop	162.0	sub-015
769	2.0	stop	220.0	sub-015
770	2.0	stop	102.0	sub-015
771	4.0	stop	204.0	sub-015
772	4.0	go	176.0	sub-015
773	4.0	stop	156.0	sub-015
774	4.0	go	195.0	sub-015
775	0.5	stop	117.0	sub-015
776	2.0	go	156.0	sub-015
777	1.0	stop	196.0	sub-015
778	1.0	go	216.0	sub-015
779	0.5	go	78.0	sub-015
780	0.5	go	78.0	sub-015
781	2.0	stop	220.0	sub-015
782	4.0	go	195.0	sub-015
783	0.5	stop	216.0	sub-015
784	1.0	stop	245.0	sub-015
785	0.5	stop	196.0	sub-015
786	2.0	stop	54.0	sub-015
787	1.0	go	156.0	sub-015
788	0.5	stop	44.0	sub-015
789	2.0	go	44.0	sub-015
790	1.0	go	264.0	sub-015
791	0.5	stop	68.0	sub-015
792	2.0	go	162.0	sub-015
793	1.0	stop	132.0	sub-015
794	4.0	stop	176.0	sub-015
795	0.5	go	147.0	sub-015
716	4.0	stop	0.0	sub-014
717	2.0	stop	245.0	sub-014
718	2.0	stop	245.0	sub-014
719	1.0	go	156.0	sub-014
720	0.5	stop	216.0	sub-014
721	1.0	stop	234.0	sub-014
722	4.0	stop	220.0	sub-014
723	0.5	stop	234.0	sub-014
724	2.0	go	195.0	sub-014
725	2.0	go	136.0	sub-014
726	0.5	stop	102.0	sub-014
727	0.5	stop	245.0	sub-014
728	4.0	go	170.0	sub-014
729	2.0	stop	39.0	sub-014
730	0.5	go	176.0	sub-014
731	2.0	stop	195.0	sub-014
732	4.0	stop	324.0	sub-014
733	0.5	stop	44.0	sub-014
734	0.5	go	294.0	sub-014
735	2.0	stop	34.0	sub-014
736	0.5	stop	102.0	sub-014
737	2.0	stop	44.0	sub-014
738	1.0	stop	108.0	sub-014
739	2.0	go	270.0	sub-014
740	1.0	stop	102.0	sub-014
741	1.0	stop	216.0	sub-014
742	2.0	go	102.0	sub-014
743	4.0	go	78.0	sub-014
744	1.0	stop	98.0	sub-014
745	1.0	stop	117.0	sub-014
746	0.5	go	108.0	sub-014
747	2.0	go	264.0	sub-014
748	0.5	go	156.0	sub-014
749	0.5	go	264.0	sub-014
750	4.0	stop	195.0	sub-014
751	1.0	go	324.0	sub-014
752	1.0	go	195.0	sub-014
753	1.0	stop	132.0	sub-014
754	1.0	go	54.0	sub-014
755	2.0	go	88.0	sub-014
756	2.0	go	245.0	sub-014
757	0.5	go	102.0	sub-014
758	4.0	go	88.0	sub-014
759	1.0	go	294.0	sub-014
760	4.0	go	170.0	sub-014
761	0.5	stop	324.0	sub-014
762	4.0	go	245.0	sub-014
763	4.0	go	195.0	sub-014
764	1.0	go	196.0	sub-014
765	4.0	go	196.0	sub-014
766	4.0	go	220.0	sub-014
767	1.0	go	204.0	sub-014
768	4.0	stop	245.0	sub-014
769	1.0	stop	170.0	sub-014
770	2.0	go	54.0	sub-014
771	4.0	go	108.0	sub-014
772	2.0	stop	54.0	sub-014
773	4.0	stop	176.0	sub-014
774	4.0	stop	324.0	sub-014
775	4.0	stop	156.0	sub-014
776	0.5	stop	176.0	sub-014
777	1.0	go	44.0	sub-014
778	0.5	stop	195.0	sub-014
779	1.0	go	132.0	sub-014
780	2.0	stop	136.0	sub-014
781	2.0	go	78.0	sub-014
782	4.0	stop	68.0	sub-014
783	2.0	stop	176.0	sub-014
784	1.0	go	34.0	sub-014
785	2.0	stop	324.0	sub-014
786	2.0	go	245.0	sub-014
787	0.5	stop	245.0	sub-014
