	xPos	corrAns	yPos	corrGoResp	yPosGoStim	xPosGoStim	pracTrials.thisRepN	pracTrials.thisTrialN	pracTrials.thisN	pracTrials.thisIndex	ReDoLoopPrac.thisRepN	ReDoLoopPrac.thisTrialN	ReDoLoopPrac.thisN	ReDoLoopPrac.thisIndex	ReDoLoopPrac.thisTrial	pracStopTrials.thisRepN	pracStopTrials.thisTrialN	pracStopTrials.thisN	pracStopTrials.thisIndex	Blocks.thisRepN	Blocks.thisTrialN	Blocks.thisN	Blocks.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	ReDoLoopMain.thisRepN	ReDoLoopMain.thisTrialN	ReDoLoopMain.thisN	ReDoLoopMain.thisIndex	ReDoLoopMain.thisTrial	StopBlocks.thisRepN	StopBlocks.thisTrialN	StopBlocks.thisN	StopBlocks.thisIndex	StopTrials.thisRepN	StopTrials.thisTrialN	StopTrials.thisN	StopTrials.thisIndex	auctionBlocks.thisRepN	auctionBlocks.thisTrialN	auctionBlocks.thisN	auctionBlocks.thisIndex	auctionTrials.thisRepN	auctionTrials.thisTrialN	auctionTrials.thisN	auctionTrials.thisIndex	learningTrialList	learningPracTrialList	stopTrialList	stopPracTrialList	auctionTrialList	ok1.keys	ok1.rt	resp.keys	resp.corr	resp.rt	feedbackResp.keys	feedbackResp.corr	currentReward	currentStimulus	currentStimType	firstPracComputedRewardOutput	firstPracLearningStimOnset	firstPracLearningFixOnset	firstPracPresentationRT	firstPracPresentationAcc	firstPracPresentationResp	firstPracEndTrialTimeStamp	StartTrialTimeStamp	trialType	goStim	stimType	stopStimValue	goResp.keys	goResp.corr	goResp.rt	key_resp_9.keys	key_resp_9.corr	fixStopOnset	goStimOnset	stopSignalOnset	EndTrialTimeStamp	key_resp_3.keys	key_resp_3.rt	firstComputedRewardOutput	firstLearningStimOnset	firstLearningFixOnset	firstPresentationRT	firstPresentationAcc	firstPresentationResp	firstEndTrialTimeStamp	key_resp_7.keys	key_resp_7.rt	feedbackResp.rt	secondComputedRewardOutput	secondLearningStimOnset	secondLearningFixOnset	secondPresentationRT	secondPresentationAcc	secondPresentationResp	secondEndTrialTimeStamp	beginningSSD	EndingSSD	key_resp_4.keys	key_resp_4.rt	auctionResponse.keys	auctionResponse.rt	auctionStimDuration	auctionStim	auctionAmounts	auctionStimValue	auctionCondition	chosenAuctionAmount	key_resp_5.keys	key_resp_5.rt	shuffledRewardList	chosenReward1	chosenReward2	chosenReward3	chosenReward4	chosenReward5	key_resp_6.keys	key_resp_6.rt	date	frameRate	expName	session	participant	Unnamed: 130
277	200.0	w	200.0																	2.0	0.0	2.0	0.0	13.0	0.0	52.0	0.0																													w	1.0	0.40068793296800004	None	0.0	1.0	crossblue.gif	go																								0.0	0.5139188766480001	0.000880002975464	0.40068793296800004	1.0	w	1053.20530796																																	2015_Jun_24_1125	59.9516876449	LearningTask	1	63	
278	-200.0	a	-200.0																	2.0	0.0	2.0	0.0	13.0	1.0	53.0	3.0																													a	1.0	0.451001882553	None	0.0	4.0	lineorange.gif	go																								0.0	0.514282941818	0.00103878974915	0.35067105293300005	0.0	q	1056.20878792			0.21241092681899998	4.02	0.515485048294	0.000949859619141	0.451001882553	1.0	a	1059.212363																							2015_Jun_24_1125	59.9516876449	LearningTask	1	63	
279	200.0	s	-200.0																	2.0	0.0	2.0	0.0	13.0	2.0	54.0	2.0																													s	1.0	0.3342628479	None	0.0	2.0	invertedtriangleyellow.gif	stop																								2.06	0.5139951705929999	0.000885009765625	0.3342628479	1.0	s	1062.2158289																																	2015_Jun_24_1125	59.9516876449	LearningTask	1	63	
280	200.0	w	200.0																	2.0	0.0	2.0	0.0	13.0	3.0	55.0	0.0																													w	1.0	0.451346874237	None	0.0	0.5	diamondwhite.gif	go																								0.0	0.5134980678559999	0.0009250640869139999	0.451346874237	1.0	w	1065.21884203																																	2015_Jun_24_1125	59.9516876449	LearningTask	1	63	
281	200.0	s	-200.0																	2.0	0.0	2.0	0.0	14.0	0.0	56.0	2.0																													s	1.0	0.350679159164	None	0.0	1.0	crossblue.gif	go																								0.95	0.514436006546	0.0008759498596189999	0.350679159164	1.0	s	1068.22230005																																	2015_Jun_24_1125	59.9516876449	LearningTask	1	63	
282	200.0	s	-200.0																	2.0	0.0	2.0	0.0	14.0	1.0	57.0	2.0																													s	1.0	0.383765935898	None	0.0	2.0	invertedtriangleyellow.gif	stop																								2.01	0.514513969421	0.0008709430694580001	0.383765935898	1.0	s	1071.22585487																																	2015_Jun_24_1125	59.9516876449	LearningTask	1	63	
283	-200.0	q	200.0																	2.0	0.0	2.0	0.0	14.0	2.0	58.0	1.0																													q	1.0	0.400985002518	None	0.0	4.0	squaremagenta.gif	stop																								3.9	0.5138678550720001	0.0008859634399410001	0.400985002518	1.0	q	1074.22894788																																	2015_Jun_24_1125	59.9516876449	LearningTask	1	63	
284	200.0	s	-200.0																	2.0	0.0	2.0	0.0	14.0	3.0	59.0	2.0																													s	1.0	0.400938034058	None	0.0	4.0	lineorange.gif	go																								3.86	0.514347076416	0.000877141952515	0.400938034058	1.0	s	1077.23229098																																	2015_Jun_24_1125	59.9516876449	LearningTask	1	63	
285	200.0	s	-200.0																	2.0	0.0	2.0	0.0	15.0	0.0	60.0	2.0																													s	1.0	0.550832033157	None	0.0	0.5	hexagongray.gif	stop																								0.62	0.51474404335	0.0008859634399410001	0.550832033157	1.0	s	1080.2361939000002																																	2015_Jun_24_1125	59.9516876449	LearningTask	1	63	
286	-200.0	q	200.0																	2.0	0.0	2.0	0.0	15.0	1.0	61.0	1.0																													q	1.0	0.4341809749600001	None	0.0	2.0	circlecyan.gif	go																								1.98	0.513738155365	0.000926971435547	0.4341809749600001	1.0	q	1083.23923397																																	2015_Jun_24_1125	59.9516876449	LearningTask	1	63	
