	xPos	corrAns	yPos	corrGoResp	yPosGoStim	xPosGoStim	pracTrials.thisRepN	pracTrials.thisTrialN	pracTrials.thisN	pracTrials.thisIndex	ReDoLoopPrac.thisRepN	ReDoLoopPrac.thisTrialN	ReDoLoopPrac.thisN	ReDoLoopPrac.thisIndex	ReDoLoopPrac.thisTrial	pracStopTrials.thisRepN	pracStopTrials.thisTrialN	pracStopTrials.thisN	pracStopTrials.thisIndex	Blocks.thisRepN	Blocks.thisTrialN	Blocks.thisN	Blocks.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	ReDoLoopMain.thisRepN	ReDoLoopMain.thisTrialN	ReDoLoopMain.thisN	ReDoLoopMain.thisIndex	ReDoLoopMain.thisTrial	StopBlocks.thisRepN	StopBlocks.thisTrialN	StopBlocks.thisN	StopBlocks.thisIndex	StopTrials.thisRepN	StopTrials.thisTrialN	StopTrials.thisN	StopTrials.thisIndex	auctionBlocks.thisRepN	auctionBlocks.thisTrialN	auctionBlocks.thisN	auctionBlocks.thisIndex	auctionTrials.thisRepN	auctionTrials.thisTrialN	auctionTrials.thisN	auctionTrials.thisIndex	learningTrialList	learningPracTrialList	stopTrialList	stopPracTrialList	auctionTrialList	ok1.keys	ok1.rt	resp.keys	resp.corr	feedbackResp.keys	feedbackResp.corr	feedbackResp.rt	currentReward	currentStimulus	currentStimType	firstPracComputedRewardOutput	firstPracLearningStimOnset	firstPracLearningFixOnset	firstPracPresentationRT	firstPracPresentationAcc	firstPracPresentationResp	firstPracEndTrialTimeStamp	resp.rt	secondPracComputedRewardOutput	secondPracLearningStimOnset	secondPracLearningFixOnset	secondPracPresentationRT	secondPracPresentationAcc	secondPracPresentationResp	secondPracEndTrialTimeStamp	StartTrialTimeStamp	trialType	goStim	stimType	stopStimValue	goResp.keys	goResp.corr	goResp.rt	key_resp_9.keys	key_resp_9.corr	fixStopOnset	goStimOnset	stopSignalOnset	EndTrialTimeStamp	key_resp_3.keys	key_resp_3.rt	firstComputedRewardOutput	firstLearningStimOnset	firstLearningFixOnset	firstPresentationRT	firstPresentationAcc	firstPresentationResp	firstEndTrialTimeStamp	key_resp_7.keys	key_resp_7.rt	beginningSSD	EndingSSD	key_resp_9.rt	key_resp_4.keys	key_resp_4.rt	auctionResponse.keys	auctionResponse.rt	auctionStimDuration	auctionStim	auctionAmounts	auctionStimValue	auctionCondition	chosenAuctionAmount	key_resp_5.keys	key_resp_5.rt	shuffledRewardList	chosenReward1	chosenReward2	chosenReward3	chosenReward4	chosenReward5	key_resp_6.keys	key_resp_6.rt	date	frameRate	expName	session	participant	Unnamed: 131
12				z	0.0	-200.0										0.0	1.0	1.0	0.0																																																												197.612067938	stop	crossblue.gif	stop	4.0	None	0.0		None	0.0	0.0009608268737789999	0.5154728889469999	0.765920877457	200.61479306200002																																			2015_Jun_23_1140	59.9610295852	LearningTask	1	15	
13				z	0.0	-200.0										1.0	0.0	2.0	0.0																																																												200.61518693	stop	circlewhite.gif	stop	2.0	None	0.0		None	0.0	0.00146389007568	0.515752077103	0.766058921814	203.61824488599999																																			2015_Jun_23_1140	59.9610295852	LearningTask	1	15	
14				m	0.0	200.0										1.0	1.0	3.0	1.0																																																												203.618618965	stop	crossblue.gif	stop	4.0	m	1.0	0.467771053314	None	0.0	0.0009589195251460001	0.515800952911	0.766058921814	206.621788025																																			2015_Jun_23_1140	59.9610295852	LearningTask	1	15	
15				m	0.0	200.0										2.0	0.0	4.0	1.0																																																												206.62215805099999	go	diamondmagenta.gif	go	4.0	m	1.0	0.484467029572	None	0.0	0.0009729862213130002	0.515523910522		209.624841928																																			2015_Jun_23_1140	59.9610295852	LearningTask	1	15	
16				m	0.0	200.0										2.0	1.0	5.0	1.0																																																												209.625217915	stop	triangleorange.gif	stop	1.0	None	0.0		None	0.0	0.00102281570435	0.5159687995910001	0.766179800034	212.62819004099998																																			2015_Jun_23_1140	59.9610295852	LearningTask	1	15	
17				z	0.0	-200.0										3.0	0.0	6.0	0.0																																																												212.62857008	go	invertedtriangleyellow.gif	go	2.0	z	1.0	0.634902000427	None	0.0	0.00100684165955	0.5158488750460001		215.63169193299998																																			2015_Jun_23_1140	59.9610295852	LearningTask	1	15	
18				z	0.0	-200.0										3.0	1.0	7.0	0.0																																																												215.632154942	go	invertedtriangleyellow.gif	go	2.0	z	1.0	0.634274959564	None	0.0	0.000998020172119	0.515580892563		218.63495087599998																																			2015_Jun_23_1140	59.9610295852	LearningTask	1	15	
19				m	0.0	200.0										4.0	0.0	8.0	1.0																																																												218.635328054	stop	linecyan.gif	stop	0.5	None	0.0		None	0.0	0.00132584571838	0.515921831131	0.765907049179	221.638581991																																			2015_Jun_23_1140	59.9610295852	LearningTask	1	15	
20				z	0.0	-200.0										4.0	1.0	9.0	0.0																																																												221.63895392400002	stop	triangleorange.gif	stop	1.0	z	1.0	0.450302839279	None	0.0	0.00137186050415	0.515775918961	0.766183853149	224.641929865																																			2015_Jun_23_1140	59.9610295852	LearningTask	1	15	
21																																																																																													9.0	62.963299036																																	2015_Jun_23_1140	59.9610295852	LearningTask	1	15	
22																																																						9.0	3.03667807579																																																																								2015_Jun_23_1140	59.9610295852	LearningTask	1	15	
