	xPos	corrAns	yPos	corrGoResp	yPosGoStim	xPosGoStim	pracTrials.thisRepN	pracTrials.thisTrialN	pracTrials.thisN	pracTrials.thisIndex	ReDoLoopPrac.thisRepN	ReDoLoopPrac.thisTrialN	ReDoLoopPrac.thisN	ReDoLoopPrac.thisIndex	ReDoLoopPrac.thisTrial	pracStopTrials.thisRepN	pracStopTrials.thisTrialN	pracStopTrials.thisN	pracStopTrials.thisIndex	Blocks.thisRepN	Blocks.thisTrialN	Blocks.thisN	Blocks.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	ReDoLoopMain.thisRepN	ReDoLoopMain.thisTrialN	ReDoLoopMain.thisN	ReDoLoopMain.thisIndex	ReDoLoopMain.thisTrial	StopBlocks.thisRepN	StopBlocks.thisTrialN	StopBlocks.thisN	StopBlocks.thisIndex	StopTrials.thisRepN	StopTrials.thisTrialN	StopTrials.thisN	StopTrials.thisIndex	auctionBlocks.thisRepN	auctionBlocks.thisTrialN	auctionBlocks.thisN	auctionBlocks.thisIndex	auctionTrials.thisRepN	auctionTrials.thisTrialN	auctionTrials.thisN	auctionTrials.thisIndex	learningTrialList	learningPracTrialList	stopTrialList	stopPracTrialList	auctionTrialList	ok1.keys	ok1.rt	resp.keys	resp.corr	feedbackResp.keys	feedbackResp.corr	feedbackResp.rt	currentReward	currentStimulus	currentStimType	firstPracComputedRewardOutput	firstPracLearningStimOnset	firstPracLearningFixOnset	firstPracPresentationRT	firstPracPresentationAcc	firstPracPresentationResp	firstPracEndTrialTimeStamp	resp.rt	secondPracComputedRewardOutput	secondPracLearningStimOnset	secondPracLearningFixOnset	secondPracPresentationRT	secondPracPresentationAcc	secondPracPresentationResp	secondPracEndTrialTimeStamp	StartTrialTimeStamp	trialType	goStim	stimType	stopStimValue	goResp.keys	goResp.corr	goResp.rt	key_resp_9.keys	key_resp_9.corr	fixStopOnset	goStimOnset	stopSignalOnset	EndTrialTimeStamp	key_resp_3.keys	key_resp_3.rt	firstComputedRewardOutput	firstLearningStimOnset	firstLearningFixOnset	firstPresentationRT	firstPresentationAcc	firstPresentationResp	firstEndTrialTimeStamp	secondComputedRewardOutput	secondLearningStimOnset	secondLearningFixOnset	secondPresentationRT	secondPresentationAcc	secondPresentationResp	secondEndTrialTimeStamp	key_resp_7.keys	key_resp_7.rt	beginningSSD	EndingSSD	key_resp_9.rt	key_resp_4.keys	key_resp_4.rt	auctionResponse.keys	auctionResponse.rt	auctionStimDuration	auctionStim	auctionAmounts	auctionStimValue	auctionCondition	chosenAuctionAmount	key_resp_5.keys	key_resp_5.rt	shuffledRewardList	chosenReward1	chosenReward2	chosenReward3	chosenReward4	chosenReward5	key_resp_6.keys	key_resp_6.rt	date	frameRate	expName	session	participant	Unnamed: 138
20				m	0.0	200.0										4.0	1.0	9.0	1.0																																																												271.467487097	go	circlemagenta.gif	go	0.5	m	1.0	0.317224979401	None	0.0	0.0009479522705080001	0.5161478519439999		274.470423937																																										2015_Jun_23_1302	59.985812681599995	LearningTask	1	61	
21																																																																																													9.0	87.00924992559999																																								2015_Jun_23_1302	59.985812681599995	LearningTask	1	61	
22																																																						9.0	4.68831682205																																																																															2015_Jun_23_1302	59.985812681599995	LearningTask	1	61	
23	200.0	w	200.0																	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																													w	1.0	None	0.0		2.0	invertedtriangleyellow.gif	go								0.534368038177																								1.91	0.50871515274	0.0009570121765139998	0.534368038177	1.0	w	369.311902046																																	2015_Jun_23_1302	59.985812681599995	LearningTask	1	61	
24	200.0	s	-200.0																	0.0	0.0	0.0	0.0	0.0	1.0	1.0	2.0																													s	1.0	None	0.0		4.0	diamondgray.gif	go								0.41776895523100005																								3.86	0.513485193253	0.0434181690216	0.41776895523100005	1.0	s	372.314544916																																	2015_Jun_23_1302	59.985812681599995	LearningTask	1	61	
25	-200.0	a	-200.0																	0.0	0.0	0.0	0.0	0.0	2.0	2.0	3.0																													a	1.0	None	0.0		2.0	crossgreen.gif	stop								0.433856010437																								0.0	0.514686822891	0.000888824462891	0.417348146439	0.0	q	375.31826996800004	1.8	0.515177965164	0.00101089477539	0.433856010437	1.0	a	378.32167792300004																										2015_Jun_23_1302	59.985812681599995	LearningTask	1	61	
26	200.0	s	-200.0																	0.0	0.0	0.0	0.0	0.0	3.0	3.0	2.0																													s	1.0	None	0.0		4.0	hexagoncyan.gif	stop								0.40062999725299997																								4.15	0.514017820358	0.00104284286499	0.40062999725299997	1.0	s	381.324517965																																	2015_Jun_23_1302	59.985812681599995	LearningTask	1	61	
27	-200.0	a	-200.0																	0.0	0.0	0.0	0.0	1.0	0.0	4.0	3.0																													a	1.0	None	0.0		1.0	lineorange.gif	stop								0.401206016541																								1.23	0.514565944672	0.0008938312530519999	0.401206016541	1.0	a	384.32802701																																	2015_Jun_23_1302	59.985812681599995	LearningTask	1	61	
28	200.0	s	-200.0																	0.0	0.0	0.0	0.0	1.0	1.0	5.0	2.0																													s	1.0	None	0.0		2.0	crossgreen.gif	stop								0.333878040314																								2.09	0.5144388675689999	0.0008978843688960001	0.333878040314	1.0	s	387.331327915																																	2015_Jun_23_1302	59.985812681599995	LearningTask	1	61	
29	-200.0	q	200.0																	0.0	0.0	0.0	0.0	1.0	2.0	6.0	1.0																													q	1.0	None	0.0		2.0	crossgreen.gif	stop								0.40064406395																								1.84	0.514621019363	0.00100111961365	0.40064406395	1.0	q	390.334866047																																	2015_Jun_23_1302	59.985812681599995	LearningTask	1	61	
