	xPos	corrAns	yPos	corrGoResp	yPosGoStim	xPosGoStim	pracTrials.thisRepN	pracTrials.thisTrialN	pracTrials.thisN	pracTrials.thisIndex	ReDoLoopPrac.thisRepN	ReDoLoopPrac.thisTrialN	ReDoLoopPrac.thisN	ReDoLoopPrac.thisIndex	ReDoLoopPrac.thisTrial	pracStopTrials.thisRepN	pracStopTrials.thisTrialN	pracStopTrials.thisN	pracStopTrials.thisIndex	Blocks.thisRepN	Blocks.thisTrialN	Blocks.thisN	Blocks.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	ReDoLoopMain.thisRepN	ReDoLoopMain.thisTrialN	ReDoLoopMain.thisN	ReDoLoopMain.thisIndex	ReDoLoopMain.thisTrial	StopBlocks.thisRepN	StopBlocks.thisTrialN	StopBlocks.thisN	StopBlocks.thisIndex	StopTrials.thisRepN	StopTrials.thisTrialN	StopTrials.thisN	StopTrials.thisIndex	auctionBlocks.thisRepN	auctionBlocks.thisTrialN	auctionBlocks.thisN	auctionBlocks.thisIndex	auctionTrials.thisRepN	auctionTrials.thisTrialN	auctionTrials.thisN	auctionTrials.thisIndex	learningTrialList	learningPracTrialList	stopTrialList	stopPracTrialList	auctionTrialList	ok1.keys	ok1.rt	resp.keys	resp.corr	resp.rt	feedbackResp.keys	feedbackResp.corr	currentReward	currentStimulus	currentStimType	firstPracComputedRewardOutput	firstPracLearningStimOnset	firstPracLearningFixOnset	firstPracPresentationRT	firstPracPresentationAcc	firstPracPresentationResp	firstPracEndTrialTimeStamp	StartTrialTimeStamp	trialType	goStim	stimType	stopStimValue	goResp.keys	goResp.corr	goResp.rt	key_resp_9.keys	key_resp_9.corr	fixStopOnset	goStimOnset	stopSignalOnset	EndTrialTimeStamp	key_resp_3.keys	key_resp_3.rt	firstComputedRewardOutput	firstLearningStimOnset	firstLearningFixOnset	firstPresentationRT	firstPresentationAcc	firstPresentationResp	firstEndTrialTimeStamp	feedbackResp.rt	secondComputedRewardOutput	secondLearningStimOnset	secondLearningFixOnset	secondPresentationRT	secondPresentationAcc	secondPresentationResp	secondEndTrialTimeStamp	key_resp_7.keys	key_resp_7.rt	thirdComputedRewardOutput	thirdLearningStimOnset	thirdLearningFixOnset	thirdPresentationRT	thirdPresentationAcc	thirdPresentationResp	thirdEndTrialTimeStamp	beginningSSD	EndingSSD	key_resp_9.rt	key_resp_4.keys	key_resp_4.rt	auctionResponse.keys	auctionResponse.rt	auctionStimDuration	auctionStim	auctionAmounts	auctionStimValue	auctionCondition	chosenAuctionAmount	key_resp_5.keys	key_resp_5.rt	shuffledRewardList	chosenReward1	chosenReward2	chosenReward3	chosenReward4	chosenReward5	key_resp_6.keys	key_resp_6.rt	date	frameRate	expName	session	participant	Unnamed: 138
603				m	0.0	200.0																											4.0	0.0	4.0	0.0	16.0	0.0	32.0	1.0																															2379.25714898	stop	triangleorange.gif	stop	2.0	m	1.0	0.467698097229	None	0.0	0.0009319782257080001	0.514714002609	0.965376138687	2382.26012301																											0.45	0.4																						2015_Jul_07_0953	60.1413233	LearningTask	1	80	
604				z	0.0	-200.0																											4.0	0.0	4.0	0.0	16.0	1.0	33.0	0.0																															2382.26058507	go	diamondyellow.gif	stop	4.0	z	1.0	0.634832143784	None	0.0	0.00118184089661	0.514761924744		2385.26335287																											-1.0	-1.0																						2015_Jul_07_0953	60.1413233	LearningTask	1	80	
605				m	0.0	200.0																											4.0	0.0	4.0	0.0	17.0	0.0	34.0	1.0																															2385.26385999	go	linecyan.gif	go	1.0	m	1.0	0.517230987549	None	0.0	0.0009169578552250001	0.515193939209		2388.26662803																											-1.0	-1.0																						2015_Jul_07_0953	60.1413233	LearningTask	1	80	
606				m	0.0	200.0																											4.0	0.0	4.0	0.0	17.0	1.0	35.0	1.0																															2388.26708698	stop	diamondyellow.gif	stop	4.0	m	1.0	0.48409199714699996	None	0.0	0.0009248256683350001	0.515091896057	0.915489912033	2391.26988888																											0.4	0.35																						2015_Jul_07_0953	60.1413233	LearningTask	1	80	
607				m	0.0	200.0																											5.0	0.0	5.0	0.0	0.0	0.0	0.0	1.0																															2437.12746	go	hexagonmagenta.gif	go	4.0	m	1.0	0.785108804703	None	0.0	0.000869989395142	0.509480953217		2440.12501192	9.0	43.9353671074																									-1.0	-1.0																						2015_Jul_07_0953	60.1413233	LearningTask	1	80	
608				m	0.0	200.0																											5.0	0.0	5.0	0.0	0.0	1.0	1.0	1.0																															2440.12549901	stop	squareblue.gif	stop	1.0	None	0.0		None	0.0	0.0009210109710689999	0.515305042267	0.8652210235600001	2443.12860203																											0.35	0.4																						2015_Jul_07_0953	60.1413233	LearningTask	1	80	
609				z	0.0	-200.0																											5.0	0.0	5.0	0.0	1.0	0.0	2.0	0.0																															2443.12909508	go	linecyan.gif	go	1.0	z	1.0	0.484775066376	None	0.0	0.0009319782257080001	0.514939069748		2446.13187385																											-1.0	-1.0																						2015_Jul_07_0953	60.1413233	LearningTask	1	80	
610				z	0.0	-200.0																											5.0	0.0	5.0	0.0	1.0	1.0	3.0	0.0																															2446.13238692	stop	diamondyellow.gif	stop	4.0	None	0.0		None	0.0	0.000949144363403	0.514835119247	0.7652060985570001	2449.13546085																											0.25	0.3																						2015_Jul_07_0953	60.1413233	LearningTask	1	80	
611				z	0.0	-200.0																											5.0	0.0	5.0	0.0	2.0	0.0	4.0	0.0																															2449.13591599	go	crossgreen.gif	go	0.5	z	1.0	0.467222929001	None	0.0	0.000938892364502	0.514513969421		2452.13812184																											-1.0	-1.0																						2015_Jul_07_0953	60.1413233	LearningTask	1	80	
612				m	0.0	200.0																											5.0	0.0	5.0	0.0	2.0	1.0	5.0	1.0																															2452.1385839	go	linecyan.gif	go	1.0	m	1.0	0.700830936432	None	0.0	0.000931024551392	0.515638113022		2455.14178705																											-1.0	-1.0																						2015_Jul_07_0953	60.1413233	LearningTask	1	80	
613				m	0.0	200.0																											5.0	0.0	5.0	0.0	3.0	0.0	6.0	1.0																															2455.14225006	stop	triangleorange.gif	stop	2.0	None	0.0		None	0.0	0.00098705291748	0.515138149261	0.915634155273	2458.14533997																											0.4	0.45																						2015_Jul_07_0953	60.1413233	LearningTask	1	80	
614				z	0.0	-200.0																											5.0	0.0	5.0	0.0	3.0	1.0	7.0	0.0																															2458.14579606	stop	circlegray.gif	stop	0.5	z	1.0	0.40078115463299996	None	0.0	0.000942945480347	0.514935016632	0.8152987957	2461.14855099																											0.3	0.25																						2015_Jul_07_0953	60.1413233	LearningTask	1	80	
