	xPos	corrAns	yPos	corrGoResp	yPosGoStim	xPosGoStim	pracTrials.thisRepN	pracTrials.thisTrialN	pracTrials.thisN	pracTrials.thisIndex	ReDoLoopPrac.thisRepN	ReDoLoopPrac.thisTrialN	ReDoLoopPrac.thisN	ReDoLoopPrac.thisIndex	ReDoLoopPrac.thisTrial	pracStopTrials.thisRepN	pracStopTrials.thisTrialN	pracStopTrials.thisN	pracStopTrials.thisIndex	Blocks.thisRepN	Blocks.thisTrialN	Blocks.thisN	Blocks.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	ReDoLoopMain.thisRepN	ReDoLoopMain.thisTrialN	ReDoLoopMain.thisN	ReDoLoopMain.thisIndex	ReDoLoopMain.thisTrial	StopBlocks.thisRepN	StopBlocks.thisTrialN	StopBlocks.thisN	StopBlocks.thisIndex	StopTrials.thisRepN	StopTrials.thisTrialN	StopTrials.thisN	StopTrials.thisIndex	auctionBlocks.thisRepN	auctionBlocks.thisTrialN	auctionBlocks.thisN	auctionBlocks.thisIndex	auctionTrials.thisRepN	auctionTrials.thisTrialN	auctionTrials.thisN	auctionTrials.thisIndex	learningTrialList	learningPracTrialList	stopTrialList	stopPracTrialList	auctionTrialList	ok1.keys	ok1.rt	resp.keys	resp.corr	resp.rt	feedbackResp.keys	feedbackResp.corr	currentReward	currentStimulus	currentStimType	firstPracComputedRewardOutput	firstPracLearningStimOnset	firstPracLearningFixOnset	firstPracPresentationRT	firstPracPresentationAcc	firstPracPresentationResp	firstPracEndTrialTimeStamp	StartTrialTimeStamp	trialType	goStim	stimType	stopStimValue	goResp.keys	goResp.corr	goResp.rt	key_resp_9.keys	key_resp_9.corr	fixStopOnset	goStimOnset	stopSignalOnset	EndTrialTimeStamp	key_resp_3.keys	key_resp_3.rt	firstComputedRewardOutput	firstLearningStimOnset	firstLearningFixOnset	firstPresentationRT	firstPresentationAcc	firstPresentationResp	firstEndTrialTimeStamp	secondComputedRewardOutput	secondLearningStimOnset	secondLearningFixOnset	secondPresentationRT	secondPresentationAcc	secondPresentationResp	secondEndTrialTimeStamp	key_resp_7.keys	key_resp_7.rt	thirdComputedRewardOutput	thirdLearningStimOnset	thirdLearningFixOnset	thirdPresentationRT	thirdPresentationAcc	thirdPresentationResp	thirdEndTrialTimeStamp	feedbackResp.rt	fourthComputedRewardOutput	fourthLearningStimOnset	fourthLearningFixOnset	fourthPresentationRT	fourthPresentationAcc	fourthPresentationResp	fourthEndTrialTimeStamp	fifthComputedRewardOutput	fifthLearningStimOnset	fifthLearningFixOnset	fifthPresentationRT	fifthPresentationAcc	fifthPresentationResp	fifthEndTrialTimeStamp	beginningSSD	EndingSSD	key_resp_9.rt	key_resp_4.keys	key_resp_4.rt	auctionResponse.keys	auctionStimDuration	auctionStim	auctionAmounts	auctionStimValue	auctionCondition	chosenAuctionAmount	auctionResponse.rt	key_resp_5.keys	key_resp_5.rt	shuffledRewardList	chosenReward1	chosenReward2	chosenReward3	chosenReward4	chosenReward5	key_resp_6.keys	key_resp_6.rt	date	frameRate	expName	session	participant	Unnamed: 152
42	-200.0	a	-200.0																	0.0	0.0	0.0	0.0	4.0	3.0	19.0	3.0																													a	1.0	0.40081787109399997	None	0.0	2.0	invertedtriangleblue.gif	go																								1.78	0.513442993164	0.0010600090026900001	0.400817871094	1.0	a	315.123495102																																																							2015_Jun_24_1041	59.7414524923	LearningTask	1	20	
43	200.0	s	-200.0																	0.0	0.0	0.0	0.0	5.0	0.0	20.0	2.0																													s	1.0	0.3674659729	None	0.0	1.0	trianglegray.gif	go																								1.13	0.513753890991	0.0009450912475589999	0.3674659729	1.0	s	318.126492977																																																							2015_Jun_24_1041	59.7414524923	LearningTask	1	20	
44	-200.0	q	200.0																	0.0	0.0	0.0	0.0	5.0	1.0	21.0	1.0																													q	1.0	0.467662096024	None	0.0	4.0	crosswhite.gif	go																								4.11	0.5141861438750001	0.0009329319000239999	0.467662096024	1.0	q	321.129785061																																																							2015_Jun_24_1041	59.7414524923	LearningTask	1	20	
45	200.0	s	-200.0																	0.0	0.0	0.0	0.0	5.0	2.0	22.0	2.0																													s	1.0	0.43478298187299996	None	0.0	1.0	squaremagenta.gif	stop																								1.06	0.5142891407010001	0.0008990764617919999	0.434782981873	1.0	s	324.133045197																																																							2015_Jun_24_1041	59.7414524923	LearningTask	1	20	
46	200.0	s	-200.0																	0.0	0.0	0.0	0.0	5.0	3.0	23.0	2.0																													s	1.0	0.36754083633400003	None	0.0	2.0	diamondorange.gif	stop																								1.89	0.514470100403	0.0008878707885739998	0.367540836334	1.0	s	327.13660001799997																																																							2015_Jun_24_1041	59.7414524923	LearningTask	1	20	
47	200.0	s	-200.0																	0.0	0.0	0.0	0.0	6.0	0.0	24.0	2.0																													s	1.0	0.400613069534	None	0.0	0.5	circlecyan.gif	go																								0.37	0.51429605484	0.0009369850158689999	0.400613069534	1.0	s	330.139862061																																																							2015_Jun_24_1041	59.7414524923	LearningTask	1	20	
48	200.0	s	-200.0																	0.0	0.0	0.0	0.0	6.0	1.0	25.0	2.0																													s	1.0	0.36760592460600006	None	0.0	0.5	hexagonyellow.gif	stop																								0.47	0.514189958572	0.000962018966675	0.367605924606	1.0	s	333.143478155																																																							2015_Jun_24_1041	59.7414524923	LearningTask	1	20	
49	-200.0	q	200.0																	0.0	0.0	0.0	0.0	6.0	2.0	26.0	1.0																													q	1.0	0.434256076813	None	0.0	0.5	circlecyan.gif	go																								0.0	0.514086961746	0.0008981227874760001	0.434256076813	1.0	q	336.14704299																																																							2015_Jun_24_1041	59.7414524923	LearningTask	1	20	
50	-200.0	a	-200.0																	0.0	0.0	0.0	0.0	6.0	3.0	27.0	3.0																													a	1.0	0.367816209793	None	0.0	4.0	crosswhite.gif	go																								3.88	0.5131950378419999	0.0009129047393799999	0.367816209793	1.0	a	339.149998188																																																							2015_Jun_24_1041	59.7414524923	LearningTask	1	20	
51	-200.0	a	-200.0																	0.0	0.0	0.0	0.0	7.0	0.0	28.0	3.0																													a	1.0	0.383517980576	None	0.0	1.0	trianglegray.gif	go																								1.16	0.514395952225	0.0009210109710689999	0.383517980576	1.0	a	342.153195143																																																							2015_Jun_24_1041	59.7414524923	LearningTask	1	20	
