	xPos	corrAns	yPos	corrGoResp	yPosGoStim	xPosGoStim	pracTrials.thisRepN	pracTrials.thisTrialN	pracTrials.thisN	pracTrials.thisIndex	ReDoLoopPrac.thisRepN	ReDoLoopPrac.thisTrialN	ReDoLoopPrac.thisN	ReDoLoopPrac.thisIndex	ReDoLoopPrac.thisTrial	pracStopTrials.thisRepN	pracStopTrials.thisTrialN	pracStopTrials.thisN	pracStopTrials.thisIndex	Blocks.thisRepN	Blocks.thisTrialN	Blocks.thisN	Blocks.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	ReDoLoopMain.thisRepN	ReDoLoopMain.thisTrialN	ReDoLoopMain.thisN	ReDoLoopMain.thisIndex	ReDoLoopMain.thisTrial	StopBlocks.thisRepN	StopBlocks.thisTrialN	StopBlocks.thisN	StopBlocks.thisIndex	StopTrials.thisRepN	StopTrials.thisTrialN	StopTrials.thisN	StopTrials.thisIndex	auctionBlocks.thisRepN	auctionBlocks.thisTrialN	auctionBlocks.thisN	auctionBlocks.thisIndex	auctionTrials.thisRepN	auctionTrials.thisTrialN	auctionTrials.thisN	auctionTrials.thisIndex	learningTrialList	learningPracTrialList	stopTrialList	stopPracTrialList	auctionTrialList	ok1.keys	ok1.rt	resp.keys	resp.corr	resp.rt	feedbackResp.keys	feedbackResp.corr	feedbackResp.rt	currentReward	currentStimulus	currentStimType	firstPracComputedRewardOutput	firstPracLearningStimOnset	firstPracLearningFixOnset	firstPracPresentationRT	firstPracPresentationAcc	firstPracPresentationResp	firstPracEndTrialTimeStamp	secondPracComputedRewardOutput	secondPracLearningStimOnset	secondPracLearningFixOnset	secondPracPresentationRT	secondPracPresentationAcc	secondPracPresentationResp	secondPracEndTrialTimeStamp	StartTrialTimeStamp	trialType	goStim	stimType	stopStimValue	goResp.keys	goResp.corr	goResp.rt	key_resp_9.keys	key_resp_9.corr	fixStopOnset	goStimOnset	stopSignalOnset	EndTrialTimeStamp	key_resp_3.keys	key_resp_3.rt	firstComputedRewardOutput	firstLearningStimOnset	firstLearningFixOnset	firstPresentationRT	firstPresentationAcc	firstPresentationResp	firstEndTrialTimeStamp	secondComputedRewardOutput	secondLearningStimOnset	secondLearningFixOnset	secondPresentationRT	secondPresentationAcc	secondPresentationResp	secondEndTrialTimeStamp	thirdComputedRewardOutput	thirdLearningStimOnset	thirdLearningFixOnset	thirdPresentationRT	thirdPresentationAcc	thirdPresentationResp	thirdEndTrialTimeStamp	fourthComputedRewardOutput	fourthLearningStimOnset	fourthLearningFixOnset	fourthPresentationRT	fourthPresentationAcc	fourthPresentationResp	fourthEndTrialTimeStamp	fifthComputedRewardOutput	fifthLearningStimOnset	fifthLearningFixOnset	fifthPresentationRT	fifthPresentationAcc	fifthPresentationResp	fifthEndTrialTimeStamp	key_resp_7.keys	key_resp_7.rt	beginningSSD	EndingSSD	key_resp_9.rt	key_resp_4.keys	key_resp_4.rt	auctionResponse.keys	auctionStimDuration	auctionStim	auctionAmounts	auctionStimValue	auctionCondition	chosenAuctionAmount	auctionResponse.rt	key_resp_5.keys	key_resp_5.rt	shuffledRewardList	chosenReward1	chosenReward2	chosenReward3	chosenReward4	chosenReward5	key_resp_6.keys	key_resp_6.rt	date	frameRate	expName	session	participant	Unnamed: 159
431				m	0.0	200.0																											0.0	0.0	0.0	0.0	2.0	0.0	4.0	1.0																																							1832.6230699999999	go	squarewhite.gif	go	1.0	m	1.0	0.751568078995	None	0.0	0.00128698348999	0.515151977539		1835.62635517																																								-1.0	-1.0																						2015_Jul_02_1246	59.990531508500005	LearningTask	1	14	
432				z	0.0	-200.0																											0.0	0.0	0.0	0.0	2.0	1.0	5.0	0.0																																							1835.62694097	go	hexagongray.gif	go	0.5	z	1.0	0.768438816071	None	0.0	0.00110602378845	0.514254808426		1838.62934899																																								-1.0	-1.0																						2015_Jul_02_1246	59.990531508500005	LearningTask	1	14	
433				m	0.0	200.0																											0.0	0.0	0.0	0.0	3.0	0.0	6.0	1.0																																							1838.62981296	stop	invertedtriangleyellow.gif	stop	4.0	None	0.0		None	0.0	0.00127482414246	0.515357971191	0.715058803558	1841.63335419																																								0.2	0.25																						2015_Jul_02_1246	59.990531508500005	LearningTask	1	14	
434				z	0.0	-200.0																											0.0	0.0	0.0	0.0	3.0	1.0	7.0	0.0																																							1841.633811	stop	diamondgreen.gif	stop	0.5	None	0.0		None	0.0	0.000940799713135	0.514537811279	0.8152599334720001	1844.63659096																																								0.3	0.35																						2015_Jul_02_1246	59.990531508500005	LearningTask	1	14	
435				z	0.0	-200.0																											0.0	0.0	0.0	0.0	4.0	0.0	8.0	0.0																																							1844.63704419	go	squarewhite.gif	go	1.0	z	1.0	0.46784901618999997	None	0.0	0.0009450912475589999	0.514508008957		1847.63947916																																								-1.0	-1.0																						2015_Jul_02_1246	59.990531508500005	LearningTask	1	14	
436				z	0.0	-200.0																											0.0	0.0	0.0	0.0	4.0	1.0	9.0	0.0																																							1847.64012218	go	linecyan.gif	go	4.0	z	1.0	0.517742156982	None	0.0	0.000953912734985	0.514735937119		1850.64283609																																								-1.0	-1.0																						2015_Jul_02_1246	59.990531508500005	LearningTask	1	14	
437				z	0.0	-200.0																											0.0	0.0	0.0	0.0	5.0	0.0	10.0	0.0																																							1850.64330816	go	linecyan.gif	go	4.0	z	1.0	0.784409999847	None	0.0	0.0009400844573969999	0.5153391361240001		1853.64652109																																								-1.0	-1.0																						2015_Jul_02_1246	59.990531508500005	LearningTask	1	14	
438				z	0.0	-200.0																											0.0	0.0	0.0	0.0	5.0	1.0	11.0	0.0																																							1853.64710999	stop	circlemagenta.gif	stop	1.0	None	0.0		None	0.0	0.0009360313415529999	0.514726877213	0.8653299808499999	1856.65020108																																								0.35	0.4																						2015_Jul_02_1246	59.990531508500005	LearningTask	1	14	
439				z	0.0	-200.0																											0.0	0.0	0.0	0.0	6.0	0.0	12.0	0.0																																							1856.65072513	go	diamondgreen.gif	stop	0.5	z	1.0	0.7179381847380001	None	0.0	0.0009489059448239998	0.514429092407		1859.65305018																																								-1.0	-1.0																						2015_Jul_02_1246	59.990531508500005	LearningTask	1	14	
440				m	0.0	200.0																											0.0	0.0	0.0	0.0	6.0	1.0	13.0	1.0																																							1859.65350699	go	diamondgreen.gif	stop	0.5	m	1.0	0.6845660209659999	None	0.0	0.000974893569946	0.515068054199		1862.65639615																																								-1.0	-1.0																						2015_Jul_02_1246	59.990531508500005	LearningTask	1	14	
