	xPos	corrAns	yPos	corrGoResp	yPosGoStim	xPosGoStim	pracTrials.thisRepN	pracTrials.thisTrialN	pracTrials.thisN	pracTrials.thisIndex	ReDoLoopPrac.thisRepN	ReDoLoopPrac.thisTrialN	ReDoLoopPrac.thisN	ReDoLoopPrac.thisIndex	ReDoLoopPrac.thisTrial	pracStopTrials.thisRepN	pracStopTrials.thisTrialN	pracStopTrials.thisN	pracStopTrials.thisIndex	Blocks.thisRepN	Blocks.thisTrialN	Blocks.thisN	Blocks.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	ReDoLoopMain.thisRepN	ReDoLoopMain.thisTrialN	ReDoLoopMain.thisN	ReDoLoopMain.thisIndex	ReDoLoopMain.thisTrial	StopBlocks.thisRepN	StopBlocks.thisTrialN	StopBlocks.thisN	StopBlocks.thisIndex	StopTrials.thisRepN	StopTrials.thisTrialN	StopTrials.thisN	StopTrials.thisIndex	auctionBlocks.thisRepN	auctionBlocks.thisTrialN	auctionBlocks.thisN	auctionBlocks.thisIndex	auctionTrials.thisRepN	auctionTrials.thisTrialN	auctionTrials.thisN	auctionTrials.thisIndex	learningTrialList	learningPracTrialList	stopTrialList	stopPracTrialList	auctionTrialList	ok1.keys	ok1.rt	resp.keys	resp.corr	resp.rt	feedbackResp.keys	feedbackResp.corr	currentReward	currentStimulus	currentStimType	firstPracComputedRewardOutput	firstPracLearningStimOnset	firstPracLearningFixOnset	firstPracPresentationRT	firstPracPresentationAcc	firstPracPresentationResp	firstPracEndTrialTimeStamp	StartTrialTimeStamp	trialType	goStim	stimType	stopStimValue	goResp.keys	goResp.corr	goResp.rt	key_resp_9.keys	key_resp_9.corr	fixStopOnset	goStimOnset	EndTrialTimeStamp	stopSignalOnset	key_resp_3.keys	key_resp_3.rt	firstComputedRewardOutput	firstLearningStimOnset	firstLearningFixOnset	firstPresentationRT	firstPresentationAcc	firstPresentationResp	firstEndTrialTimeStamp	secondComputedRewardOutput	secondLearningStimOnset	secondLearningFixOnset	secondPresentationRT	secondPresentationAcc	secondPresentationResp	secondEndTrialTimeStamp	key_resp_7.keys	key_resp_7.rt	feedbackResp.rt	beginningSSD	EndingSSD	key_resp_9.rt	key_resp_4.keys	key_resp_4.rt	auctionResponse.keys	auctionResponse.rt	auctionStimDuration	auctionStim	auctionAmounts	auctionStimValue	auctionCondition	chosenAuctionAmount	key_resp_5.keys	key_resp_5.rt	shuffledRewardList	chosenReward1	chosenReward2	chosenReward3	chosenReward4	chosenReward5	key_resp_6.keys	key_resp_6.rt	date	frameRate	expName	session	participant	Unnamed: 131
10	-200.0	q	200.0				0.0	9.0	9.0	1.0																																														q	1.0	0.484499931335	None	0.0	4.0	invertedtrianglegreen.gif	stop	3.8	0.514980077744	0.00113916397095	0.484499931335	1.0	q	160.911505938																																																									2015_Jul_08_1003	59.9063905516	LearningTask	1	83	
11				z	0.0	-200.0										0.0	0.0	0.0	0.0																																																				209.871600866	go	crossmagenta.gif	go	0.5	z	1.0	0.567473173141	None	0.0	0.0178301334381	0.510869979858	212.870352983																																												2015_Jul_08_1003	59.9063905516	LearningTask	1	83	
12				m	0.0	200.0										0.0	1.0	1.0	1.0																																																				212.87074399	stop	hexagonwhite.gif	stop	1.0	m	1.0	0.434172153473	None	0.0	0.0009601116180419999	0.5151569843289999	215.87316393900002	0.76521897316																																											2015_Jul_08_1003	59.9063905516	LearningTask	1	83	
13				z	0.0	-200.0										1.0	0.0	2.0	0.0																																																				215.87353301	go	lineorange.gif	go	4.0	z	1.0	0.41751694679300005	None	0.0	0.0341949462891	0.515811920166	218.876529932																																												2015_Jul_08_1003	59.9063905516	LearningTask	1	83	
14				z	0.0	-200.0										1.0	1.0	3.0	0.0																																																				218.87692284599999	go	crossmagenta.gif	go	0.5	z	1.0	0.40131282806400004	None	0.0	0.0009489059448239998	0.5157489776609999	221.879691839																																												2015_Jul_08_1003	59.9063905516	LearningTask	1	83	
15				m	0.0	200.0										2.0	0.0	4.0	1.0																																																				221.880059958	stop	triangleyellow.gif	stop	2.0	m	1.0	0.367882966995	None	0.0	0.00108289718628	0.5160498619080001	224.883311987	0.766300916672																																											2015_Jul_08_1003	59.9063905516	LearningTask	1	83	
16				m	0.0	200.0										2.0	1.0	5.0	1.0																																																				224.88367700599997	stop	hexagonwhite.gif	stop	1.0	m	1.0	0.451248168945	None	0.0	0.000946044921875	0.5155768394470001	227.886905909	0.766134023666																																											2015_Jul_08_1003	59.9063905516	LearningTask	1	83	
17				m	0.0	200.0										3.0	0.0	6.0	1.0																																																				227.88726902	stop	invertedtrianglegreen.gif	stop	4.0	m	1.0	0.534273147583	None	0.0	0.000978946685791	0.516020059586	230.890022993	0.7657260894779999																																											2015_Jul_08_1003	59.9063905516	LearningTask	1	83	
18				z	0.0	-200.0										3.0	1.0	7.0	0.0																																																				230.890388966	stop	diamondgray.gif	stop	0.5	z	1.0	0.40097784995999997	None	0.0	0.00105595588684	0.515865087509	233.893420935	0.766264915466																																											2015_Jul_08_1003	59.9063905516	LearningTask	1	83	
19				m	0.0	200.0										4.0	0.0	8.0	1.0																																																				233.89378404599998	go	lineorange.gif	go	4.0	m	1.0	0.367222070694	None	0.0	0.00095009803772	0.515798091888	236.89700388900002																																												2015_Jul_08_1003	59.9063905516	LearningTask	1	83	
