	xPos	corrAns	yPos	corrGoResp	yPosGoStim	xPosGoStim	pracTrials.thisRepN	pracTrials.thisTrialN	pracTrials.thisN	pracTrials.thisIndex	ReDoLoopPrac.thisRepN	ReDoLoopPrac.thisTrialN	ReDoLoopPrac.thisN	ReDoLoopPrac.thisIndex	ReDoLoopPrac.thisTrial	pracStopTrials.thisRepN	pracStopTrials.thisTrialN	pracStopTrials.thisN	pracStopTrials.thisIndex	Blocks.thisRepN	Blocks.thisTrialN	Blocks.thisN	Blocks.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	ReDoLoopMain.thisRepN	ReDoLoopMain.thisTrialN	ReDoLoopMain.thisN	ReDoLoopMain.thisIndex	ReDoLoopMain.thisTrial	StopBlocks.thisRepN	StopBlocks.thisTrialN	StopBlocks.thisN	StopBlocks.thisIndex	StopTrials.thisRepN	StopTrials.thisTrialN	StopTrials.thisN	StopTrials.thisIndex	auctionBlocks.thisRepN	auctionBlocks.thisTrialN	auctionBlocks.thisN	auctionBlocks.thisIndex	auctionTrials.thisRepN	auctionTrials.thisTrialN	auctionTrials.thisN	auctionTrials.thisIndex	learningTrialList	learningPracTrialList	stopTrialList	stopPracTrialList	auctionTrialList	ok1.keys	ok1.rt	resp.keys	resp.corr	resp.rt	feedbackResp.keys	feedbackResp.corr	currentReward	currentStimulus	currentStimType	firstPracComputedRewardOutput	firstPracLearningStimOnset	firstPracLearningFixOnset	firstPracPresentationRT	firstPracPresentationAcc	firstPracPresentationResp	firstPracEndTrialTimeStamp	StartTrialTimeStamp	trialType	goStim	stimType	stopStimValue	goResp.keys	goResp.corr	key_resp_9.keys	key_resp_9.corr	fixStopOnset	goStimOnset	stopSignalOnset	EndTrialTimeStamp	goResp.rt	key_resp_3.keys	key_resp_3.rt	firstComputedRewardOutput	firstLearningStimOnset	firstLearningFixOnset	firstPresentationRT	firstPresentationAcc	firstPresentationResp	firstEndTrialTimeStamp	secondComputedRewardOutput	secondLearningStimOnset	secondLearningFixOnset	secondPresentationRT	secondPresentationAcc	secondPresentationResp	secondEndTrialTimeStamp	key_resp_7.keys	key_resp_7.rt	beginningSSD	EndingSSD	key_resp_9.rt	key_resp_4.keys	key_resp_4.rt	auctionResponse.keys	auctionStimDuration	auctionStim	auctionAmounts	auctionStimValue	auctionCondition	chosenAuctionAmount	auctionResponse.rt	key_resp_5.keys	key_resp_5.rt	shuffledRewardList	chosenReward1	chosenReward2	chosenReward3	chosenReward4	chosenReward5	key_resp_6.keys	key_resp_6.rt	date	frameRate	expName	session	participant	Unnamed: 130
706				z	0.0	-200.0																											7.0	0.0	7.0	0.0	13.0	1.0	27.0	0.0																															3300.90475392	go	trianglewhite.gif	go	1.0	z	1.0	None	0.0	0.0009291172027589999	0.5153770446779999		3303.90787482	0.317462205887																			-1.0	-1.0																						2015_Jul_06_1244	59.8626997063	LearningTask	1	78	
707				z	0.0	-200.0																											7.0	0.0	7.0	0.0	14.0	0.0	28.0	0.0																															3303.90832782	stop	diamondmagenta.gif	stop	0.5	z	1.0	None	0.0	0.00101780891418	0.514771938324	1.06575298309	3306.91166782	0.3508207798																			0.55	0.5																						2015_Jul_06_1244	59.8626997063	LearningTask	1	78	
708				z	0.0	-200.0																											7.0	0.0	7.0	0.0	14.0	1.0	29.0	0.0																															3306.91220188	stop	hexagongreen.gif	stop	1.0	z	1.0	None	0.0	0.000964879989624	0.514668941498	1.014772892	3309.91490102	0.667685985565																			0.5	0.45																						2015_Jul_06_1244	59.8626997063	LearningTask	1	78	
709				z	0.0	-200.0																											7.0	0.0	7.0	0.0	15.0	0.0	30.0	0.0																															3309.91535091	go	invertedtriangleyellow.gif	go	0.5	z	1.0	None	0.0	0.0009291172027589999	0.514872074127		3312.91845393	0.684516906738																			-1.0	-1.0																						2015_Jul_06_1244	59.8626997063	LearningTask	1	78	
710				m	0.0	200.0																											7.0	0.0	7.0	0.0	15.0	1.0	31.0	1.0																															3312.918993	go	crossorange.gif	go	2.0	m	1.0	None	0.0	0.0009319782257080001	0.514590978622		3315.92160392	0.534440994263																			-1.0	-1.0																						2015_Jul_06_1244	59.8626997063	LearningTask	1	78	
711				z	0.0	-200.0																											7.0	0.0	7.0	0.0	16.0	0.0	32.0	0.0																															3315.92232394	go	trianglewhite.gif	go	1.0	z	1.0	None	0.0	0.00092887878418	0.514427900314		3318.92498779	0.567905902863																			-1.0	-1.0																						2015_Jul_06_1244	59.8626997063	LearningTask	1	78	
712				z	0.0	-200.0																											7.0	0.0	7.0	0.0	16.0	1.0	33.0	0.0																															3318.92544198	stop	circleblue.gif	stop	2.0	z	1.0	None	0.0	0.0009350776672360002	0.5152721405030001	0.9653949737549999	3321.92853689	0.500881195068																			0.45	0.4																						2015_Jul_06_1244	59.8626997063	LearningTask	1	78	
713				z	0.0	-200.0																											7.0	0.0	7.0	0.0	17.0	0.0	34.0	0.0																															3321.92900586	stop	diamondmagenta.gif	stop	0.5	None	0.0	None	0.0	0.000927209854126	0.51483297348	0.915207147598	3324.93202496																				0.4	0.45																						2015_Jul_06_1244	59.8626997063	LearningTask	1	78	
714				m	0.0	200.0																											7.0	0.0	7.0	0.0	17.0	1.0	35.0	1.0																															3324.93253493	go	linegray.gif	go	4.0	m	1.0	None	0.0	0.0014710426330600001	0.514741182327		3327.93477702	0.817714929581																			-1.0	-1.0																						2015_Jul_06_1244	59.8626997063	LearningTask	1	78	
715																																																																																					9.0	79.07984900470001																				9.0	625.169694901																			2015_Jul_06_1244	59.8626997063	LearningTask	1	78	
716																																									0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																							4034.16500282												4040.18493986																									None	5.984615087509999	circleblue.gif	[136, 68, 204, 102, 170, 34]	2.0	stop	0.0												2015_Jul_06_1244	59.8626997063	LearningTask	1	78	
717																																									0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0																							4040.18630195												4046.19206381																									u	3.23632621765	linegray.gif	[264, 88, 132, 176, 220, 44]	4.0	go	176.0	2.2359361648599996											2015_Jul_06_1244	59.8626997063	LearningTask	1	78	
