	xPos	corrAns	yPos	corrGoResp	yPosGoStim	xPosGoStim	pracTrials.thisRepN	pracTrials.thisTrialN	pracTrials.thisN	pracTrials.thisIndex	ReDoLoopPrac.thisRepN	ReDoLoopPrac.thisTrialN	ReDoLoopPrac.thisN	ReDoLoopPrac.thisIndex	ReDoLoopPrac.thisTrial	pracStopTrials.thisRepN	pracStopTrials.thisTrialN	pracStopTrials.thisN	pracStopTrials.thisIndex	Blocks.thisRepN	Blocks.thisTrialN	Blocks.thisN	Blocks.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	ReDoLoopMain.thisRepN	ReDoLoopMain.thisTrialN	ReDoLoopMain.thisN	ReDoLoopMain.thisIndex	ReDoLoopMain.thisTrial	StopBlocks.thisRepN	StopBlocks.thisTrialN	StopBlocks.thisN	StopBlocks.thisIndex	StopTrials.thisRepN	StopTrials.thisTrialN	StopTrials.thisN	StopTrials.thisIndex	auctionBlocks.thisRepN	auctionBlocks.thisTrialN	auctionBlocks.thisN	auctionBlocks.thisIndex	auctionTrials.thisRepN	auctionTrials.thisTrialN	auctionTrials.thisN	auctionTrials.thisIndex	learningTrialList	learningPracTrialList	stopTrialList	stopPracTrialList	auctionTrialList	ok1.keys	ok1.rt	resp.keys	resp.corr	resp.rt	feedbackResp.keys	feedbackResp.corr	currentReward	currentStimulus	currentStimType	firstPracComputedRewardOutput	firstPracLearningStimOnset	firstPracLearningFixOnset	firstPracPresentationRT	firstPracPresentationAcc	firstPracPresentationResp	firstPracEndTrialTimeStamp	StartTrialTimeStamp	trialType	goStim	stimType	stopStimValue	goResp.keys	goResp.corr	goResp.rt	key_resp_9.keys	key_resp_9.corr	fixStopOnset	goStimOnset	EndTrialTimeStamp	stopSignalOnset	key_resp_3.keys	key_resp_3.rt	firstComputedRewardOutput	firstLearningStimOnset	firstLearningFixOnset	firstPresentationRT	firstPresentationAcc	firstPresentationResp	firstEndTrialTimeStamp	secondComputedRewardOutput	secondLearningStimOnset	secondLearningFixOnset	secondPresentationRT	secondPresentationAcc	secondPresentationResp	secondEndTrialTimeStamp	key_resp_7.keys	key_resp_7.rt	feedbackResp.rt	beginningSSD	EndingSSD	key_resp_9.rt	key_resp_4.keys	key_resp_4.rt	auctionResponse.keys	auctionStimDuration	auctionStim	auctionAmounts	auctionStimValue	auctionCondition	chosenAuctionAmount	auctionResponse.rt	key_resp_5.keys	key_resp_5.rt	shuffledRewardList	chosenReward1	chosenReward2	chosenReward3	chosenReward4	chosenReward5	key_resp_6.keys	key_resp_6.rt	date	frameRate	expName	session	participant	Unnamed: 131
209	200.0	s	-200.0																	1.0	0.0	1.0	0.0	21.0	1.0	85.0	2.0																													s	1.0	0.600931882858	None	0.0	4.0	squareorange.gif	go																								3.99	0.513667821884	0.00088095664978	0.600931882858	1.0	s	802.1331689360001																																		2015_Jul_02_1405	59.8236798453	LearningTask	1	76	
210	200.0	w	200.0																	1.0	0.0	1.0	0.0	21.0	2.0	86.0	0.0																													w	1.0	0.367341995239	None	0.0	0.5	hexagonyellow.gif	stop																								0.0	0.514331102371	0.0008971691131589999	0.367341995239	1.0	w	805.136554956																																		2015_Jul_02_1405	59.8236798453	LearningTask	1	76	
211	-200.0	q	200.0																	1.0	0.0	1.0	0.0	21.0	3.0	87.0	1.0																													q	1.0	0.434147119522	None	0.0	0.5	linewhite.gif	go																								0.67	0.5143198966979999	0.000877857208252	0.434147119522	1.0	q	808.140358925																																		2015_Jul_02_1405	59.8236798453	LearningTask	1	76	
212	-200.0	q	200.0																	1.0	0.0	1.0	0.0	22.0	0.0	88.0	1.0																													q	1.0	0.35032701492299995	None	0.0	2.0	triangleblue.gif	go																								2.05	0.5138151645660001	0.0008909702301030001	0.35032701492299995	1.0	q	811.14338398																																		2015_Jul_02_1405	59.8236798453	LearningTask	1	76	
213	200.0	s	-200.0																	1.0	0.0	1.0	0.0	22.0	1.0	89.0	2.0																													s	1.0	0.484314918518	None	0.0	4.0	invertedtrianglegreen.gif	stop																								4.07	0.514501810074	0.0008909702301030001	0.484314918518	1.0	s	814.146729946																																		2015_Jul_02_1405	59.8236798453	LearningTask	1	76	
214	-200.0	a	-200.0																	1.0	0.0	1.0	0.0	22.0	2.0	90.0	3.0																													a	1.0	0.41770505905199995	None	0.0	2.0	diamondmagenta.gif	stop																								0.0	0.514311075211	0.000909090042114	0.41770505905199995	1.0	a	817.150748968																																		2015_Jul_02_1405	59.8236798453	LearningTask	1	76	
215	200.0	w	200.0																	1.0	0.0	1.0	0.0	22.0	3.0	91.0	0.0																													w	1.0	0.41765999793999997	None	0.0	2.0	diamondmagenta.gif	stop																								1.78	0.5135719776150001	0.00088095664978	0.41765999793999997	1.0	w	820.153611898																																		2015_Jul_02_1405	59.8236798453	LearningTask	1	76	
216	-200.0	q	200.0																	1.0	0.0	1.0	0.0	23.0	0.0	92.0	1.0																													q	1.0	0.451421022415	None	0.0	2.0	triangleblue.gif	go																								1.96	0.514098882675	0.0009350776672360002	0.451421022415	1.0	q	823.1570880410001																																		2015_Jul_02_1405	59.8236798453	LearningTask	1	76	
217	-200.0	a	-200.0																	1.0	0.0	1.0	0.0	23.0	1.0	93.0	3.0																													a	1.0	0.5677561759950001	None	0.0	4.0	invertedtrianglegreen.gif	stop																								3.87	0.5139338970180001	0.00100803375244	0.5677561759950001	1.0	a	826.160589933																																		2015_Jul_02_1405	59.8236798453	LearningTask	1	76	
218	200.0	w	200.0																	1.0	0.0	1.0	0.0	23.0	2.0	94.0	0.0																													w	1.0	0.400758981705	None	0.0	1.0	circlegray.gif	go																								0.79	0.513929843903	0.0008840560913089999	0.400758981705	1.0	w	829.163597107																																		2015_Jul_02_1405	59.8236798453	LearningTask	1	76	
