	xPos	corrAns	yPos	corrGoResp	yPosGoStim	xPosGoStim	pracTrials.thisRepN	pracTrials.thisTrialN	pracTrials.thisN	pracTrials.thisIndex	ReDoLoopPrac.thisRepN	ReDoLoopPrac.thisTrialN	ReDoLoopPrac.thisN	ReDoLoopPrac.thisIndex	ReDoLoopPrac.thisTrial	pracStopTrials.thisRepN	pracStopTrials.thisTrialN	pracStopTrials.thisN	pracStopTrials.thisIndex	Blocks.thisRepN	Blocks.thisTrialN	Blocks.thisN	Blocks.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	ReDoLoopMain.thisRepN	ReDoLoopMain.thisTrialN	ReDoLoopMain.thisN	ReDoLoopMain.thisIndex	ReDoLoopMain.thisTrial	StopBlocks.thisRepN	StopBlocks.thisTrialN	StopBlocks.thisN	StopBlocks.thisIndex	StopTrials.thisRepN	StopTrials.thisTrialN	StopTrials.thisN	StopTrials.thisIndex	auctionBlocks.thisRepN	auctionBlocks.thisTrialN	auctionBlocks.thisN	auctionBlocks.thisIndex	auctionTrials.thisRepN	auctionTrials.thisTrialN	auctionTrials.thisN	auctionTrials.thisIndex	learningTrialList	learningPracTrialList	stopTrialList	stopPracTrialList	auctionTrialList	ok1.keys	ok1.rt	resp.keys	resp.corr	feedbackResp.keys	feedbackResp.corr	feedbackResp.rt	currentReward	currentStimulus	currentStimType	firstPracComputedRewardOutput	firstPracLearningStimOnset	firstPracLearningFixOnset	firstPracPresentationRT	firstPracPresentationAcc	firstPracPresentationResp	firstPracEndTrialTimeStamp	resp.rt	secondPracComputedRewardOutput	secondPracLearningStimOnset	secondPracLearningFixOnset	secondPracPresentationRT	secondPracPresentationAcc	secondPracPresentationResp	secondPracEndTrialTimeStamp	StartTrialTimeStamp	trialType	goStim	stimType	stopStimValue	goResp.keys	goResp.corr	key_resp_9.keys	key_resp_9.corr	fixStopOnset	goStimOnset	stopSignalOnset	EndTrialTimeStamp	goResp.rt	key_resp_3.keys	key_resp_3.rt	firstComputedRewardOutput	firstLearningStimOnset	firstLearningFixOnset	firstPresentationRT	firstPresentationAcc	firstPresentationResp	firstEndTrialTimeStamp	key_resp_7.keys	key_resp_7.rt	secondComputedRewardOutput	secondLearningStimOnset	secondLearningFixOnset	secondPresentationRT	secondPresentationAcc	secondPresentationResp	secondEndTrialTimeStamp	beginningSSD	EndingSSD	key_resp_9.rt	key_resp_4.keys	key_resp_4.rt	auctionResponse.keys	auctionStimDuration	auctionStim	auctionAmounts	auctionStimValue	auctionCondition	chosenAuctionAmount	auctionResponse.rt	key_resp_5.keys	key_resp_5.rt	shuffledRewardList	chosenReward1	chosenReward2	chosenReward3	chosenReward4	chosenReward5	key_resp_6.keys	key_resp_6.rt	date	frameRate	expName	session	participant	Unnamed: 138
34	-200.0	a	-200.0																	0.0	0.0	0.0	0.0	2.0	3.0	11.0	3.0																													a	1.0	None	0.0		2.0	linemagenta.gif	go								0.41741085052500004																								0.0	0.514460086823	0.0009570121765139998	0.41741085052500004	1.0	a	308.226047993																																	2015_Jun_30_1148	60.1767869876	LearningTask	1	54	
35	-200.0	a	-200.0																	0.0	0.0	0.0	0.0	3.0	0.0	12.0	3.0																													a	1.0	None	0.0		1.0	trianglegreen.gif	go								0.417668104172																								0.95	0.513957977295	0.000978946685791	0.417668104172	1.0	a	311.229261875																																	2015_Jun_30_1148	60.1767869876	LearningTask	1	54	
36	-200.0	q	200.0																	0.0	0.0	0.0	0.0	3.0	1.0	13.0	1.0																													q	1.0	None	0.0		0.5	diamondorange.gif	go								0.334218978882																								0.46	0.5137867927549999	0.0010678768158	0.334218978882	1.0	q	314.232662916																																	2015_Jun_30_1148	60.1767869876	LearningTask	1	54	
37	-200.0	a	-200.0																	0.0	0.0	0.0	0.0	3.0	2.0	14.0	3.0																													a	1.0	None	0.0		1.0	squarewhite.gif	stop								0.334683895111																								0.97	0.514211893082	0.0009019374847410001	0.334683895111	1.0	a	317.23607897799997																																	2015_Jun_30_1148	60.1767869876	LearningTask	1	54	
38	-200.0	a	-200.0																	0.0	0.0	0.0	0.0	3.0	3.0	15.0	3.0																													a	1.0	None	0.0		4.0	hexagongray.gif	stop								0.36759591102600003																								4.13	0.513987064362	0.00107908248901	0.36759591102600003	1.0	a	320.239713907																																	2015_Jun_30_1148	60.1767869876	LearningTask	1	54	
39	-200.0	a	-200.0																	0.0	0.0	0.0	0.0	4.0	0.0	16.0	3.0																													a	1.0	None	0.0		1.0	squarewhite.gif	stop								0.350796937943																								0.0	0.513725996017	0.000917911529541	0.350796937943	1.0	a	323.242857933																																	2015_Jun_30_1148	60.1767869876	LearningTask	1	54	
40	200.0	s	-200.0																	0.0	0.0	0.0	0.0	4.0	1.0	17.0	2.0																													s	1.0	None	0.0		1.0	trianglegreen.gif	go								0.350708961487																								1.01	0.514187097549	0.00092601776123	0.350708961487	1.0	s	326.245965958																																	2015_Jun_30_1148	60.1767869876	LearningTask	1	54	
41	-200.0	a	-200.0																	0.0	0.0	0.0	0.0	4.0	2.0	18.0	3.0																													a	1.0	None	0.0		4.0	invertedtriangleyellow.gif	go								0.41759085655199996																								3.84	0.51450586319	0.000951051712036	0.41759085655199996	1.0	a	329.249780893																																	2015_Jun_30_1148	60.1767869876	LearningTask	1	54	
42	200.0	s	-200.0																	0.0	0.0	0.0	0.0	4.0	3.0	19.0	2.0																													s	1.0	None	0.0		2.0	linemagenta.gif	go								0.417929172516																								0.0	0.513861894608	0.000903844833374	0.417929172516	1.0	s	332.252677917																																	2015_Jun_30_1148	60.1767869876	LearningTask	1	54	
43	-200.0	q	200.0																	0.0	0.0	0.0	0.0	5.0	0.0	20.0	1.0																													q	1.0	None	0.0		2.0	linemagenta.gif	go								0.31763601303100003																								1.86	0.5142760276789999	0.0010249614715599998	0.31763601303100003	1.0	q	335.2562778																																	2015_Jun_30_1148	60.1767869876	LearningTask	1	54	
44	200.0	w	200.0																	0.0	0.0	0.0	0.0	5.0	1.0	21.0	0.0																													w	1.0	None	0.0		4.0	invertedtriangleyellow.gif	go								0.601202011108																								4.19	0.513984918594	0.00116395950317	0.601202011108	1.0	w	338.25954389599997																																	2015_Jun_30_1148	60.1767869876	LearningTask	1	54	
45	-200.0	a	-200.0																	0.0	0.0	0.0	0.0	5.0	2.0	22.0	3.0																													a	1.0	None	0.0		4.0	hexagongray.gif	stop								0.384388923645																								4.19	0.514107942581	0.00090503692627	0.384388923645	1.0	a	341.262883902																																	2015_Jun_30_1148	60.1767869876	LearningTask	1	54	
46	200.0	w	200.0																	0.0	0.0	0.0	0.0	5.0	3.0	23.0	0.0																													w	1.0	None	0.0		2.0	linemagenta.gif	go								0.35077595710799997																								0.0	0.514276981354	0.0011548995971700001	0.35077595710799997	1.0	w	344.266255856																																	2015_Jun_30_1148	60.1767869876	LearningTask	1	54	
47	200.0	w	200.0																	0.0	0.0	0.0	0.0	6.0	0.0	24.0	0.0																													w	1.0	None	0.0		2.0	linemagenta.gif	go								0.35133099556																								2.16	0.514012098312	0.0009181499481200001	0.35133099556	1.0	w	347.269673824																																	2015_Jun_30_1148	60.1767869876	LearningTask	1	54	
48	200.0	s	-200.0																	0.0	0.0	0.0	0.0	6.0	1.0	25.0	2.0																													s	1.0	None	0.0		4.0	hexagongray.gif	stop								0.4341340065																								3.75	0.5140831470489999	0.0009250640869139999	0.4341340065	1.0	s	350.272869825																																	2015_Jun_30_1148	60.1767869876	LearningTask	1	54	
49	-200.0	q	200.0																	0.0	0.0	0.0	0.0	6.0	2.0	26.0	1.0																													q	1.0	None	0.0		1.0	squarewhite.gif	stop								0.284142971039																								0.98	0.514094114304	0.000965118408203	0.284142971039	1.0	q	353.27638101599996																																	2015_Jun_30_1148	60.1767869876	LearningTask	1	54	
50	-200.0	a	-200.0																	0.0	0.0	0.0	0.0	6.0	3.0	27.0	3.0																													a	1.0	None	0.0		2.0	linemagenta.gif	go								0.33383917808499997																								2.18	0.514199018478	0.0009059906005860001	0.33383917808499997	1.0	a	356.279397964																																	2015_Jun_30_1148	60.1767869876	LearningTask	1	54	
51	-200.0	q	200.0																	0.0	0.0	0.0	0.0	7.0	0.0	28.0	1.0																													q	1.0	None	0.0		1.0	trianglegreen.gif	go								0.367239952087																								0.88	0.514774084091	0.0009140968322749999	0.367239952087	1.0	q	359.28304696099997																																	2015_Jun_30_1148	60.1767869876	LearningTask	1	54	
52	-200.0	a	-200.0																	0.0	0.0	0.0	0.0	7.0	1.0	29.0	3.0																													a	1.0	None	0.0		0.5	diamondorange.gif	go								0.33404016494800004																								0.35	0.513863801956	0.0009069442749019998	0.33404016494800004	1.0	a	362.286471844																																	2015_Jun_30_1148	60.1767869876	LearningTask	1	54	
53	-200.0	a	-200.0																	0.0	0.0	0.0	0.0	7.0	2.0	30.0	3.0																													a	1.0	None	0.0		4.0	invertedtriangleyellow.gif	go								0.334201812744																								0.0	0.514080047607	0.000900983810425	0.334201812744	1.0	a	365.289598942																																	2015_Jun_30_1148	60.1767869876	LearningTask	1	54	
54	-200.0	a	-200.0																	0.0	0.0	0.0	0.0	7.0	3.0	31.0	3.0																													a	1.0	None	0.0		1.0	trianglegreen.gif	go								0.367838144302																								0.91	0.514465093613	0.0009200572967529999	0.367838144302	1.0	a	368.293684959																																	2015_Jun_30_1148	60.1767869876	LearningTask	1	54	
55	200.0	w	200.0																	0.0	0.0	0.0	0.0	8.0	0.0	32.0	0.0																													w	1.0	None	0.0		2.0	circlecyan.gif	stop								0.383954048157																								2.18	0.513580083847	0.000951051712036	0.383954048157	1.0	w	371.29639291800004																																	2015_Jun_30_1148	60.1767869876	LearningTask	1	54	
56	200.0	w	200.0																	0.0	0.0	0.0	0.0	8.0	1.0	33.0	0.0																													w	1.0	None	0.0		2.0	circlecyan.gif	stop								0.38421392440800006																								0.0	0.5144739151	0.000902891159058	0.38421392440800006	1.0	w	374.300028801																																	2015_Jun_30_1148	60.1767869876	LearningTask	1	54	
