	xPos	corrAns	yPos	corrGoResp	yPosGoStim	xPosGoStim	pracTrials.thisRepN	pracTrials.thisTrialN	pracTrials.thisN	pracTrials.thisIndex	ReDoLoopPrac.thisRepN	ReDoLoopPrac.thisTrialN	ReDoLoopPrac.thisN	ReDoLoopPrac.thisIndex	ReDoLoopPrac.thisTrial	pracStopTrials.thisRepN	pracStopTrials.thisTrialN	pracStopTrials.thisN	pracStopTrials.thisIndex	Blocks.thisRepN	Blocks.thisTrialN	Blocks.thisN	Blocks.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	ReDoLoopMain.thisRepN	ReDoLoopMain.thisTrialN	ReDoLoopMain.thisN	ReDoLoopMain.thisIndex	ReDoLoopMain.thisTrial	StopBlocks.thisRepN	StopBlocks.thisTrialN	StopBlocks.thisN	StopBlocks.thisIndex	StopTrials.thisRepN	StopTrials.thisTrialN	StopTrials.thisN	StopTrials.thisIndex	auctionBlocks.thisRepN	auctionBlocks.thisTrialN	auctionBlocks.thisN	auctionBlocks.thisIndex	auctionTrials.thisRepN	auctionTrials.thisTrialN	auctionTrials.thisN	auctionTrials.thisIndex	learningTrialList	learningPracTrialList	stopTrialList	stopPracTrialList	auctionTrialList	ok1.keys	ok1.rt	resp.keys	resp.corr	resp.rt	feedbackResp.keys	feedbackResp.corr	currentReward	currentStimulus	currentStimType	firstPracComputedRewardOutput	firstPracLearningStimOnset	firstPracLearningFixOnset	firstPracPresentationRT	firstPracPresentationAcc	firstPracPresentationResp	firstPracEndTrialTimeStamp	StartTrialTimeStamp	trialType	goStim	stimType	stopStimValue	goResp.keys	goResp.corr	goResp.rt	key_resp_9.keys	key_resp_9.corr	fixStopOnset	goStimOnset	stopSignalOnset	EndTrialTimeStamp	key_resp_3.keys	key_resp_3.rt	firstComputedRewardOutput	firstLearningStimOnset	firstLearningFixOnset	firstPresentationRT	firstPresentationAcc	firstPresentationResp	firstEndTrialTimeStamp	secondComputedRewardOutput	secondLearningStimOnset	secondLearningFixOnset	secondPresentationRT	secondPresentationAcc	secondPresentationResp	secondEndTrialTimeStamp	feedbackResp.rt	key_resp_7.keys	key_resp_7.rt	beginningSSD	EndingSSD	key_resp_9.rt	key_resp_4.keys	key_resp_4.rt	auctionResponse.keys	auctionResponse.rt	auctionStimDuration	auctionStim	auctionAmounts	auctionStimValue	auctionCondition	chosenAuctionAmount	key_resp_5.keys	key_resp_5.rt	shuffledRewardList	chosenReward1	chosenReward2	chosenReward3	chosenReward4	chosenReward5	key_resp_6.keys	key_resp_6.rt	date	frameRate	expName	session	participant	Unnamed: 131
532				m	0.0	200.0																											2.0	0.0	2.0	0.0	16.0	1.0	33.0	1.0																															2031.10222411	stop	diamondgreen.gif	stop	4.0	None	0.0		None	0.0	0.0009479522705080001	0.515439987183	1.01559591293	2034.10609221																				0.5	0.55																						2015_Jul_07_1048	59.9269327321	LearningTask	1	81	
533				z	0.0	-200.0																											2.0	0.0	2.0	0.0	17.0	0.0	34.0	0.0																															2034.10668802	go	trianglegray.gif	go	0.5	z	1.0	0.40079498291	None	0.0	0.00117087364197	0.514325857162		2037.10843515																				-1.0	-1.0																						2015_Jul_07_1048	59.9269327321	LearningTask	1	81	
534				m	0.0	200.0																											2.0	0.0	2.0	0.0	17.0	1.0	35.0	1.0																															2037.10889602	stop	lineblue.gif	stop	0.5	None	0.0		None	0.0	0.0009059906005860001	0.51540184021	1.06628394127	2040.11217523																				0.55	0.6																						2015_Jul_07_1048	59.9269327321	LearningTask	1	81	
535				z	0.0	-200.0																											3.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0																															2065.87914014	stop	diamondgreen.gif	stop	4.0	z	1.0	0.38458490371699994	None	0.0	0.0009298324584960001	0.509585857391	1.01047086716	2068.8786571	9.0	24.2978079319																		0.5	0.45																						2015_Jul_07_1048	59.9269327321	LearningTask	1	81	
536				z	0.0	-200.0																											3.0	0.0	3.0	0.0	0.0	1.0	1.0	0.0																															2068.87920904	go	circleyellow.gif	go	2.0	z	1.0	0.885350942612	None	0.0	0.000963926315308	0.513957977295		2071.88089323																				-1.0	-1.0																						2015_Jul_07_1048	59.9269327321	LearningTask	1	81	
537				m	0.0	200.0																											3.0	0.0	3.0	0.0	1.0	0.0	2.0	1.0																															2071.88134813	go	hexagonwhite.gif	go	1.0	m	1.0	0.534396886826	None	0.0	0.0013010501861600002	0.515165090561		2074.88406515																				-1.0	-1.0																						2015_Jul_07_1048	59.9269327321	LearningTask	1	81	
538				m	0.0	200.0																											3.0	0.0	3.0	0.0	1.0	1.0	3.0	1.0																															2074.88452101	stop	lineblue.gif	stop	0.5	m	1.0	0.500730037689	None	0.0	0.0009298324584960001	0.5155098438260001	1.11593198776	2077.88795519																				0.6	0.55																						2015_Jul_07_1048	59.9269327321	LearningTask	1	81	
539				m	0.0	200.0																											3.0	0.0	3.0	0.0	2.0	0.0	4.0	1.0																															2077.88844705	go	hexagonwhite.gif	go	1.0	m	1.0	0.70143198967	None	0.0	0.00093412399292	0.5146751403809999		2080.8908422000004																				-1.0	-1.0																						2015_Jul_07_1048	59.9269327321	LearningTask	1	81	
540				z	0.0	-200.0																											3.0	0.0	3.0	0.0	2.0	1.0	5.0	0.0																															2080.89130712	stop	lineblue.gif	stop	0.5	z	1.0	0.41728687286399996	None	0.0	0.000941038131714	0.515486001968	0.965975999832	2083.89466906																				0.45	0.4																						2015_Jul_07_1048	59.9269327321	LearningTask	1	81	
541				m	0.0	200.0																											3.0	0.0	3.0	0.0	3.0	0.0	6.0	1.0																															2083.89513206	go	hexagonwhite.gif	go	1.0	m	1.0	0.48430109023999995	None	0.0	0.000945806503296	0.515112876892		2086.8980782000003																				-1.0	-1.0																						2015_Jul_07_1048	59.9269327321	LearningTask	1	81	
542				z	0.0	-200.0																											3.0	0.0	3.0	0.0	3.0	1.0	7.0	0.0																															2086.89852905	go	circleyellow.gif	go	2.0	z	1.0	0.417770147324	None	0.0	0.0009291172027589999	0.514820098877		2089.90089107																				-1.0	-1.0																						2015_Jul_07_1048	59.9269327321	LearningTask	1	81	
543				m	0.0	200.0																											3.0	0.0	3.0	0.0	4.0	0.0	8.0	1.0																															2089.90137506	go	invertedtrianglemagenta.gif	go	4.0	m	1.0	0.517076969147	None	0.0	0.0010769367217999999	0.515600919724		2092.90435719																				-1.0	-1.0																						2015_Jul_07_1048	59.9269327321	LearningTask	1	81	
544				z	0.0	-200.0																											3.0	0.0	3.0	0.0	4.0	1.0	9.0	0.0																															2092.90482712	stop	squarecyan.gif	stop	1.0	z	1.0	0.450954198837	None	0.0	0.000892877578735	0.514931917191	0.9155669212340001	2095.90837812																				0.4	0.35																						2015_Jul_07_1048	59.9269327321	LearningTask	1	81	
545				z	0.0	-200.0																											3.0	0.0	3.0	0.0	5.0	0.0	10.0	0.0																															2095.90883923	stop	squarecyan.gif	stop	1.0	None	0.0		None	0.0	0.00124502182007	0.514412164688	0.8644201755519999	2098.91099811																				0.35	0.4																						2015_Jul_07_1048	59.9269327321	LearningTask	1	81	
546				m	0.0	200.0																											3.0	0.0	3.0	0.0	5.0	1.0	11.0	1.0																															2098.91150212	stop	lineblue.gif	stop	0.5	m	1.0	0.516900062561	None	0.0	0.00104188919067	0.515543937683	1.06588697433	2101.91439819																				0.55	0.5																						2015_Jul_07_1048	59.9269327321	LearningTask	1	81	
547				m	0.0	200.0																											3.0	0.0	3.0	0.0	6.0	0.0	12.0	1.0																															2101.91484809	stop	crossorange.gif	stop	2.0	None	0.0		None	0.0	0.0009331703186039999	0.515289068222	1.01571106911	2104.91774702																				0.5	0.55																						2015_Jul_07_1048	59.9269327321	LearningTask	1	81	
