	xPos	corrAns	yPos	corrGoResp	yPosGoStim	xPosGoStim	pracTrials.thisRepN	pracTrials.thisTrialN	pracTrials.thisN	pracTrials.thisIndex	ReDoLoopPrac.thisRepN	ReDoLoopPrac.thisTrialN	ReDoLoopPrac.thisN	ReDoLoopPrac.thisIndex	ReDoLoopPrac.thisTrial	pracStopTrials.thisRepN	pracStopTrials.thisTrialN	pracStopTrials.thisN	pracStopTrials.thisIndex	Blocks.thisRepN	Blocks.thisTrialN	Blocks.thisN	Blocks.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	ReDoLoopMain.thisRepN	ReDoLoopMain.thisTrialN	ReDoLoopMain.thisN	ReDoLoopMain.thisIndex	ReDoLoopMain.thisTrial	StopBlocks.thisRepN	StopBlocks.thisTrialN	StopBlocks.thisN	StopBlocks.thisIndex	StopTrials.thisRepN	StopTrials.thisTrialN	StopTrials.thisN	StopTrials.thisIndex	auctionBlocks.thisRepN	auctionBlocks.thisTrialN	auctionBlocks.thisN	auctionBlocks.thisIndex	auctionTrials.thisRepN	auctionTrials.thisTrialN	auctionTrials.thisN	auctionTrials.thisIndex	learningTrialList	learningPracTrialList	stopTrialList	stopPracTrialList	auctionTrialList	ok1.keys	ok1.rt	resp.keys	resp.corr	feedbackResp.keys	feedbackResp.corr	feedbackResp.rt	currentReward	currentStimulus	currentStimType	firstPracComputedRewardOutput	firstPracLearningStimOnset	firstPracLearningFixOnset	firstPracPresentationRT	firstPracPresentationAcc	firstPracPresentationResp	firstPracEndTrialTimeStamp	secondPracComputedRewardOutput	secondPracLearningStimOnset	secondPracLearningFixOnset	secondPracPresentationRT	secondPracPresentationAcc	secondPracPresentationResp	secondPracEndTrialTimeStamp	resp.rt	thirdPracComputedRewardOutput	thirdPracLearningStimOnset	thirdPracLearningFixOnset	thirdPracPresentationRT	thirdPracPresentationAcc	thirdPracPresentationResp	thirdPracEndTrialTimeStamp	StartTrialTimeStamp	trialType	goStim	stimType	stopStimValue	goResp.keys	goResp.corr	goResp.rt	key_resp_9.keys	key_resp_9.corr	fixStopOnset	goStimOnset	EndTrialTimeStamp	stopSignalOnset	key_resp_3.keys	key_resp_3.rt	firstComputedRewardOutput	firstLearningStimOnset	firstLearningFixOnset	firstPresentationRT	firstPresentationAcc	firstPresentationResp	firstEndTrialTimeStamp	secondComputedRewardOutput	secondLearningStimOnset	secondLearningFixOnset	secondPresentationRT	secondPresentationAcc	secondPresentationResp	secondEndTrialTimeStamp	key_resp_7.keys	key_resp_7.rt	beginningSSD	EndingSSD	key_resp_9.rt	key_resp_4.keys	key_resp_4.rt	auctionResponse.keys	auctionResponse.rt	auctionStimDuration	auctionStim	auctionAmounts	auctionStimValue	auctionCondition	chosenAuctionAmount	key_resp_5.keys	key_resp_5.rt	shuffledRewardList	chosenReward1	chosenReward2	chosenReward3	chosenReward4	chosenReward5	key_resp_6.keys	key_resp_6.rt	date	frameRate	expName	session	participant	Unnamed: 145
366	200.0	s	-200.0																	3.0	0.0	3.0	0.0	10.0	0.0	40.0	2.0																													s	1.0	None	0.0		2.0	crosscyan.gif	stop															0.417575120926																								2.25	0.514199018478	0.0009801387786869998	0.417575120926	1.0	s	1333.17782497																																	2015_Jun_24_1444	59.9035671031	LearningTask	1	39	
367	-200.0	a	-200.0																	3.0	0.0	3.0	0.0	10.0	1.0	41.0	3.0																													a	1.0	None	0.0		4.0	diamondwhite.gif	stop															0.534529924393																								4.25	0.514506101608	0.0009729862213130002	0.534529924393	1.0	a	1336.18125916																																	2015_Jun_24_1444	59.9035671031	LearningTask	1	39	
368	200.0	s	-200.0																	3.0	0.0	3.0	0.0	10.0	2.0	42.0	2.0																													s	1.0	None	0.0		0.5	lineyellow.gif	stop															0.38415288925200003																								0.57	0.5142390728	0.000869035720825	0.38415288925200003	1.0	s	1339.18459201																																	2015_Jun_24_1444	59.9035671031	LearningTask	1	39	
369	-200.0	a	-200.0																	3.0	0.0	3.0	0.0	10.0	3.0	43.0	3.0																													a	1.0	None	0.0		1.0	hexagonmagenta.gif	go															0.43408703804																								0.0	0.514014005661	0.000945806503296	0.45103693008400003	0.0	q	1342.18793797	0.87	0.515707969666	0.00095796585083	0.43408703804	1.0	a	1345.19123697																										2015_Jun_24_1444	59.9035671031	LearningTask	1	39	
370	-200.0	q	200.0																	3.0	0.0	3.0	0.0	11.0	0.0	44.0	1.0																													q	1.0	None	0.0		4.0	invertedtriangleorange.gif	go															0.434231996536																								0.0	0.51429104805	0.000880002975464	0.434231996536	1.0	q	1348.1947732																																	2015_Jun_24_1444	59.9035671031	LearningTask	1	39	
371	200.0	w	200.0																	3.0	0.0	3.0	0.0	11.0	1.0	45.0	0.0																													w	1.0	None	0.0	0.21175909042399998	0.5	lineyellow.gif	stop															0.417656898499																								0.0	0.513488054276	0.00090503692627	0.434649944305	0.0	s	1351.19809318	0.64	0.5155160427090001	0.000941038131714	0.417656898499	1.0	w	1354.20111418																										2015_Jun_24_1444	59.9035671031	LearningTask	1	39	
372	200.0	w	200.0																	3.0	0.0	3.0	0.0	11.0	2.0	46.0	0.0																													w	1.0	None	0.0		1.0	hexagonmagenta.gif	go															0.434144973755																								0.84	0.514412879944	0.0009279251098630001	0.434144973755	1.0	w	1357.20471001																																	2015_Jun_24_1444	59.9035671031	LearningTask	1	39	
373	200.0	w	200.0																	3.0	0.0	3.0	0.0	11.0	3.0	47.0	0.0																													w	1.0	None	0.0		2.0	crosscyan.gif	stop															0.40068602562																								2.14	0.514482975006	0.000880002975464	0.40068602562	1.0	w	1360.20856404																																	2015_Jun_24_1444	59.9035671031	LearningTask	1	39	
374	200.0	s	-200.0																	3.0	0.0	3.0	0.0	12.0	0.0	48.0	2.0																													s	1.0	None	0.0		4.0	invertedtriangleorange.gif	go															0.534451007843																								4.14	0.513740062714	0.0008740425109860002	0.534451007843	1.0	s	1363.21154904																																	2015_Jun_24_1444	59.9035671031	LearningTask	1	39	
375	200.0	w	200.0																	3.0	0.0	3.0	0.0	12.0	1.0	49.0	0.0																													w	1.0	None	0.0		0.5	circlegray.gif	go															0.41764497757																								0.28	0.514534950256	0.0009119510650630002	0.41764497757	1.0	w	1366.21509218																																	2015_Jun_24_1444	59.9035671031	LearningTask	1	39	
